Cargo;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Votos válidos;Votos nominais;Data de carga
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;BREJÃO;SAULO HENRIQUE FLORENTINO DE BARROS;Outros;PP;NORDESTE;Eleito;1;PE;8286;4275;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;GRAÇA ARANHA;UBIRAJARA RAYOL SOARES;Prefeito;UNIÃO;NORDESTE;Eleito;1;MA;5452;3113;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;SÃO DESIDÉRIO;JOAO ANTONIO RODRIGUES LINHARES;Comerciante;PP;NORDESTE;Eleito;1;BA;23448;20550;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);60 a 64 anos;Masculino;Ensino Médio completo;TOBIAS BARRETO;ADILSON DE JESUS SANTOS;Técnico em Edificações;PSD;NORDESTE;Eleito;1;SE;32654;17584;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;SÃO MIGUEL DE TAIPU;LAELSON ALBUQUERQUE;Prefeito;PP;NORDESTE;Eleito;1;PB;5531;4589;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;PORTO;ALUIZIO MOREIRA VAZ;Trabalhador Rural;PT;NORDESTE;Eleito;1;PI;7641;3712;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);70 a 74 anos;Masculino;Superior completo;BARRA DO MENDES;MANOEL GABRIEL DOS SANTOS;Outros;PP;NORDESTE;Eleito;1;BA;9791;5021;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;GRAJAÚ;ANTONIO GILSON BOMFIM DA SILVA;Médico;PSDB;NORDESTE;Eleito;1;MA;42834;24937;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);45 a 49 anos;Masculino;Superior completo;OURO VELHO;GILVANEY JOSÉ VENÂNCIO DA SILVA JÚNIOR;Médico;UNIÃO;NORDESTE;Eleito;1;PB;2345;2345;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;CURRAL VELHO;TÁCIO SAMUEL BARBOSA DINIZ;Prefeito;MDB;NORDESTE;Eleito;1;PB;1951;1735;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio incompleto;POTIRAGUÁ;ELIAS DE CARVALHO FILHO;Pecuarista;AVANTE;NORDESTE;Eleito;1;BA;6577;3368;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);65 a 69 anos;Feminino;Superior completo;SALINAS DA MARGARIDA;MARIA DE FÁTIMA PÊPE CERQUEIRA;Vereador;PSD;NORDESTE;Eleito;1;BA;12349;8218;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;AREIA BRANCA;MANOEL CUNHA NETO;Servidor Público Federal;UNIÃO;NORDESTE;Eleito;1;RN;18572;9710;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);60 a 64 anos;Masculino;Ensino Médio completo;SÃO FELIPE;ANTÔNIO GREGÓRIO DE OLIVEIRA BARBOSA;Aposentado (Exceto Servidor Público);PSD;NORDESTE;Eleito;1;BA;14833;9468;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;SENADOR ALEXANDRE COSTA;NILO TAYRONE AROUCHE AMORIM;Médico;REPUBLICANOS;NORDESTE;Eleito;1;MA;7053;4267;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Ensino Médio completo;CARNAÚBA DOS DANTAS;KLEYTON MEDEIROS DANTAS;Servidor Público Municipal;MDB;NORDESTE;Eleito;1;RN;5398;3457;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;SUMÉ;MANOEL LOURENÇO QUEIROZ DUARTE;Pecuarista;MDB;NORDESTE;Eleito;1;PB;11486;6128;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Superior incompleto;CUITEGI;GUILHERME CUNHA MADRUGA JUNIOR;Comerciante;PSB;NORDESTE;Eleito;1;PB;5070;2886;2025-05-06 19:30:57
Prefeito;Amarela;Casado(a);60 a 64 anos;Feminino;Superior completo;PIMENTEIRAS;MARIA LUCIA DE LACERDA;Prefeito;PSD;NORDESTE;Eleito;1;PI;8172;4539;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;BREJÕES;RICARDO CASTRO CERQUEIRA;Empresário;AVANTE;NORDESTE;Eleito;1;BA;8903;5951;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Feminino;Ensino Médio completo;UIRAÚNA;MARIA SULENE DANTAS SARMENTO;Empresário;PSB;NORDESTE;Eleito;1;PB;10923;8719;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;LAGOA ALEGRE;OSAEL MOITA LEAL;Médico;PDT;NORDESTE;Eleito;1;PI;7396;4427;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;MARAÚ;ISRAVAN LEMOS BARCELOS;Médico;PSD;NORDESTE;Eleito;1;BA;13286;7563;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);55 a 59 anos;Feminino;Superior completo;JOAQUIM NABUCO;MARCIA ROBERTA BARRETO;Servidor Público Municipal;PSDB;NORDESTE;Eleito;1;PE;12232;6404;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental incompleto;FEIRA NOVA;JOEL CANDIDO GONZAGA;Aposentado (Exceto Servidor Público);PSD;NORDESTE;Eleito;1;PE;14541;8462;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;MIGUEL CALMON;MARINALDO SAMPAIO DE SOUZA FILHO;Empresário;PP;NORDESTE;Eleito;1;BA;15955;9255;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);40 a 44 anos;Feminino;Superior completo;GUAIÚBA;IZABELLA MARIA FERNANDES DA SILVA;Advogado;PSB;NORDESTE;Eleito;1;CE;17532;13860;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;JUSSARA;TACIANO MENDES DA SILVA;Prefeito;PP;NORDESTE;Eleito;1;BA;12059;7246;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;GROSSOS;CINTHIA SONALE SILVA ALVES E SOUZA;Prefeito;UNIÃO;NORDESTE;Eleito;1;RN;8543;4713;2025-05-06 19:30:57
Prefeito;Branca;Viúvo(a);75 a 79 anos;Feminino;Ensino Médio completo;SÃO SEBASTIÃO DO PASSÉ;MARIA NILZA DA MATA SANTANA;Prefeito;PSD;NORDESTE;Eleito;1;BA;26731;17358;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;PORTO FRANCO;DEOCLIDES ANTONIO SANTOS NETO MACEDO;Prefeito;PSB;NORDESTE;Eleito;1;MA;14608;10454;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;VITÓRIA DO MEARIM;RAIMUNDO NONATO EVERTON SILVA;Prefeito;PL;NORDESTE;Eleito;1;MA;19894;8873;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;CAJAZEIRINHAS;LUANA MARA DE ALMEIDA;Professor de Ensino Fundamental;PSB;NORDESTE;Eleito;1;PB;3169;2553;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Feminino;Superior completo;IBIARA;LUCINEIDE VIEIRA PEREIRA;Servidor Público Municipal;PSB;NORDESTE;Eleito;1;PB;4852;2918;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;AMARAJI;FLÁUCIO DE ARAÚJO GUIMARÃES;Empresário;AVANTE;NORDESTE;Eleito;1;PE;14135;7136;2025-05-06 19:30:57
Prefeito;Parda;Viúvo(a);55 a 59 anos;Masculino;Ensino Médio completo;ITIÚBA;JOSE FRANCISCO DOS SANTOS FILHO;Prefeito;MDB;NORDESTE;Eleito;1;BA;22091;11483;2025-05-06 19:30:57
Prefeito;Preta;Casado(a);50 a 54 anos;Masculino;Superior incompleto;SIMÕES FILHO;DEVALDO SOARES DE SOUZA;Vereador;UNIÃO;NORDESTE;Eleito;1;BA;69169;40230;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;JACOBINA DO PIAUÍ;VANDERLEI RAIMUNDO DE CARVALHO;Trabalhador Rural;MDB;NORDESTE;Eleito;1;PI;4254;4254;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;SANTA LUZIA;FERNANDO SCHUELER BRITO;Prefeito;AVANTE;NORDESTE;Eleito;1;BA;7645;4093;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Feminino;Superior completo;IPIAÚ;LARYSSA ANDRADE SANTOS FERNANDES DIAS;Enfermeiro;PP;NORDESTE;Eleito;1;BA;25034;14370;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);21 a 24 anos;Feminino;Superior completo;SANTANA DE MANGUEIRA;MARINA DONÁRIA ALVARENGA DE LACERDA;Professor de Ensino Fundamental;MDB;NORDESTE;Eleito;1;PB;3620;2783;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);75 a 79 anos;Masculino;Ensino Médio completo;OLHO D'ÁGUA DO BORGES;ANTONIMAR AMORIM CARLOS;Aposentado (Exceto Servidor Público);UNIÃO;NORDESTE;Eleito;1;RN;4355;2178;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;TAQUARITINGA DO NORTE;GENIVALDO FERREIRA LINS;Empresário;PP;NORDESTE;Eleito;1;PE;18657;7541;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);45 a 49 anos;Feminino;Superior completo;PARACURU;GABRIELA CORDEIRO FAÇANHA;Odontólogo;REPUBLICANOS;NORDESTE;Eleito;1;CE;27619;16022;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;FEIRA NOVA DO MARANHÃO;LUIZA COUTINHO MACEDO;Empresário;UNIÃO;NORDESTE;Eleito;1;MA;5736;3317;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);70 a 74 anos;Feminino;Ensino Fundamental completo;MIRAÍMA;OZANA COELHO RODRIGUES TEIXEIRA;Aposentado (Exceto Servidor Público);PP;NORDESTE;Eleito;1;CE;10379;7664;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);50 a 54 anos;Feminino;Superior completo;PORTO CALVO;ERONITA SPOSITO LEAO E LIMA;Prefeito;MDB;NORDESTE;Eleito;1;AL;17295;12829;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Feminino;Superior completo;BONINAL;CELESTE AUGUSTA ARAUJO PAIVA;Prefeito;PT;NORDESTE;Eleito;1;BA;8860;5079;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;SÃO JOÃO DA FRONTEIRA;MARCOS ANTONIO DE ANDRADE MATEUS;Policial Militar;MDB;NORDESTE;Eleito;1;PI;4521;2595;2025-05-06 19:30:57
Prefeito;Branca;Viúvo(a);45 a 49 anos;Masculino;Superior completo;EQUADOR;CLETSON RIVALDO DE OLIVEIRA;Professor de Ensino Médio;MDB;NORDESTE;Eleito;1;RN;4117;2216;2025-05-06 19:30:57
Prefeito;Branca;Viúvo(a);50 a 54 anos;Feminino;Superior completo;DORMENTES;MARIA DO SOCORRO COELHO DE SOUSA;Outros;PSB;NORDESTE;Eleito;1;PE;11727;11727;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;PLANALTO;CLOVES ALVES ANDRADE;Prefeito;PT;NORDESTE;Eleito;1;BA;16729;9595;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);65 a 69 anos;Masculino;Ensino Médio incompleto;HORIZONTE;MANOEL GOMES DE FARIAS NETO;Prefeito;PSB;NORDESTE;Eleito;1;CE;49791;36398;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;SÃO JOSÉ DOS BASÍLIOS;RONALDO VIEIRA DE SOUSA JUNIOR;Empresário;MDB;NORDESTE;Eleito;1;MA;5531;3526;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;TAPIRAMUTÁ;ROBERTO VENÂNCIO DOS SANTOS;Prefeito;PC do B;NORDESTE;Eleito;1;BA;8788;4702;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Fundamental incompleto;CENTRO NOVO DO MARANHÃO;JOEDSON ALMEIDA DOS SANTOS;Prefeito;PSDB;NORDESTE;Eleito;1;MA;10067;6830;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;UMIRIM;JUDISON HENRIQUE LOPES ARAÚJO;Militar Reformado;PSB;NORDESTE;Eleito;1;CE;13673;8124;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO BENEDITO DO RIO PRETO;WALLAS GONÇALVES ROCHA;Prefeito;REPUBLICANOS;NORDESTE;Eleito;1;MA;14180;7322;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;BERNARDO DO MEARIM;ARLINDO DE MOURA XAVIER JUNIOR;Prefeito;PDT;NORDESTE;Eleito;1;MA;4235;3453;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);45 a 49 anos;Masculino;Superior completo;VENHA-VER;CLEITOM JACOME DA COSTA;Prefeito;PL;NORDESTE;Eleito;1;RN;3110;2351;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;JAQUEIRA;RIDETE CELLIBE PELLEGRINO DE MACEDO OLIVEIRA;Prefeito;PSD;NORDESTE;Eleito;1;PE;7430;6470;2025-05-06 19:30:57
